,iter,train_loss,valid_loss
0,0,8.771524429321289,5.802454471588135
1,1,8.348468780517578,5.584255695343018
2,2,7.989635467529297,5.392115592956543
3,3,7.672698974609375,5.213176727294922
4,4,7.384300231933594,5.040040493011475
5,5,7.110664367675781,4.865242958068848
6,6,6.8452348709106445,4.686936378479004
7,7,6.580271244049072,4.5014729499816895
8,8,6.3127264976501465,4.308170795440674
9,9,6.040791034698486,4.107647895812988
10,10,5.763431072235107,3.9000084400177
11,11,5.480672836303711,3.6854865550994873
12,12,5.192062854766846,3.464977979660034
13,13,4.898220062255859,3.239994525909424
14,14,4.600263595581055,3.0117955207824707
15,15,4.301209926605225,2.78164005279541
16,16,4.003610134124756,2.5506625175476074
17,17,3.7102270126342773,2.320199489593506
18,18,3.423839807510376,2.0927202701568604
19,19,3.1473803520202637,1.8709442615509033
20,20,2.884129524230957,1.6570556163787842
21,21,2.636989116668701,1.4534778594970703
22,22,2.408724784851074,1.2625515460968018
23,23,2.2020623683929443,1.0871316194534302
24,24,2.018230676651001,0.9292696714401245
25,25,1.8561022281646729,0.790381133556366
26,26,1.714819312095642,0.6711940765380859
27,27,1.5923070907592773,0.5716849565505981
28,28,1.4865281581878662,0.49101871252059937
29,29,1.3952436447143555,0.42749547958374023
30,30,1.3146284818649292,0.375515878200531
31,31,1.2414140701293945,0.33041518926620483
32,32,1.1719633340835571,0.29140356183052063
33,33,1.104689598083496,0.2586386501789093
34,34,1.0352065563201904,0.23225665092468262
35,35,0.9624814987182617,0.21131043136119843
36,36,0.8859050869941711,0.19382146000862122
37,37,0.8079314231872559,0.17977912724018097
38,38,0.7310956120491028,0.17019496858119965
39,39,0.6565755605697632,0.16600869596004486
40,40,0.5866735577583313,0.16682617366313934
41,41,0.5224536657333374,0.17244169116020203
42,42,0.4647359251976013,0.18279871344566345
43,43,0.4148087501525879,0.19657938182353973
44,44,0.3728126287460327,0.212358757853508
45,45,0.338392436504364,0.22874656319618225
46,46,0.31081998348236084,0.24429066479206085
47,47,0.2893103361129761,0.25754520297050476
48,48,0.27289652824401855,0.2676444947719574
49,49,0.26065224409103394,0.27426502108573914
50,50,0.2518940567970276,0.27757418155670166
51,51,0.24611473083496094,0.2781059145927429
52,52,0.24288740754127502,0.27652838826179504
53,53,0.24175773561000824,0.2735169529914856
54,54,0.24227017164230347,0.26970547437667847
55,55,0.24397067725658417,0.26548081636428833
56,56,0.2464263141155243,0.2613382041454315
57,57,0.24924243986606598,0.25745803117752075
58,58,0.2520786225795746,0.2540750801563263
59,59,0.25466588139533997,0.2513415813446045
60,60,0.25680503249168396,0.24922999739646912
61,61,0.25835657119750977,0.24776172637939453
62,62,0.25926151871681213,0.24683430790901184
63,63,0.2595047056674957,0.24649786949157715
64,64,0.25911274552345276,0.2466936856508255
65,65,0.25814908742904663,0.24736174941062927
66,66,0.25670215487480164,0.24844112992286682
67,67,0.25486963987350464,0.24986939132213593
68,68,0.25274989008903503,0.251583069562912
69,69,0.2504563331604004,0.25351718068122864
70,70,0.2480841428041458,0.25560125708580017
71,71,0.2457164227962494,0.2577706575393677
72,72,0.24342256784439087,0.2599727511405945
73,73,0.24125704169273376,0.262151300907135
74,74,0.23925964534282684,0.26425701379776
75,75,0.23745670914649963,0.2662487030029297
76,76,0.23586207628250122,0.26809462904930115
77,77,0.234479159116745,0.2697727680206299
78,78,0.23330175876617432,0.27127042412757874
79,79,0.23231515288352966,0.27258357405662537
80,80,0.23150327801704407,0.27371543645858765
81,81,0.2308451533317566,0.27467507123947144
82,82,0.23032107949256897,0.27547577023506165
83,83,0.229908287525177,0.27613353729248047
84,84,0.2295842468738556,0.2766628861427307
85,85,0.22932769358158112,0.2770845592021942
86,86,0.2291194498538971,0.2774157226085663
87,87,0.22894275188446045,0.27767208218574524
88,88,0.2287818193435669,0.27786797285079956
89,89,0.22862650454044342,0.27801576256752014
90,90,0.22846734523773193,0.2781261205673218
91,91,0.2282986342906952,0.2782078683376312
92,92,0.22811710834503174,0.2782682776451111
93,93,0.2279205471277237,0.2783127725124359
94,94,0.22770777344703674,0.27834486961364746
95,95,0.22747966647148132,0.27836769819259644
96,96,0.22723810374736786,0.2783833146095276
97,97,0.22698494791984558,0.278392493724823
98,98,0.22672250866889954,0.27839529514312744
99,99,0.2264540195465088,0.2783912122249603
100,100,0.22618213295936584,0.27837926149368286
101,101,0.22590850293636322,0.2783583700656891
102,102,0.22563639283180237,0.2783273458480835
103,103,0.2253676950931549,0.27828505635261536
104,104,0.22510328888893127,0.2782303988933563
105,105,0.2248443067073822,0.27816274762153625
106,106,0.22459177672863007,0.27808162569999695
107,107,0.2243461012840271,0.27798718214035034
108,108,0.22410747408866882,0.27787986397743225
109,109,0.22387701272964478,0.2777608633041382
110,110,0.22365392744541168,0.27763164043426514
111,111,0.22343775629997253,0.27749404311180115
112,112,0.22322869300842285,0.27735045552253723
113,113,0.22302564978599548,0.2772035002708435
114,114,0.22282932698726654,0.2770562767982483
115,115,0.22263869643211365,0.2769117057323456
116,116,0.22245270013809204,0.2767723798751831
117,117,0.2222696840763092,0.2766411304473877
118,118,0.22209030389785767,0.27652081847190857
119,119,0.2219148874282837,0.27641353011131287
120,120,0.22174227237701416,0.2763212323188782
121,121,0.22157169878482819,0.2762451171875
122,122,0.22140273451805115,0.27618592977523804
123,123,0.22123506665229797,0.2761440873146057
124,124,0.22106847167015076,0.27611926198005676
125,125,0.2209029495716095,0.2761111855506897
126,126,0.22073835134506226,0.27611905336380005
127,127,0.22057467699050903,0.2761416435241699
128,128,0.22041180729866028,0.27617746591567993
129,129,0.22024789452552795,0.27622514963150024
130,130,0.22008301317691803,0.27628272771835327
131,131,0.21991810202598572,0.2763485908508301
132,132,0.21975401043891907,0.2764207124710083
133,133,0.21959087252616882,0.27649733424186707
134,134,0.2194288820028305,0.2765767574310303
135,135,0.2192680984735489,0.27665743231773376
136,136,0.2191087007522583,0.2767379879951477
137,137,0.2189507931470871,0.2768171727657318
138,138,0.2187943458557129,0.27689415216445923
139,139,0.21863943338394165,0.27696794271469116
140,140,0.21848605573177338,0.27703800797462463
141,141,0.21833419799804688,0.2771037518978119
142,142,0.21818384528160095,0.27716493606567383
143,143,0.21803492307662964,0.2772213816642761
144,144,0.2178877890110016,0.2772732377052307
145,145,0.2177421748638153,0.27732053399086
146,146,0.2175978422164917,0.2773633897304535
147,147,0.21745476126670837,0.277401864528656
148,148,0.21731290221214294,0.2774363160133362
149,149,0.21717223525047302,0.27746692299842834
150,150,0.21703270077705383,0.27749401330947876
151,151,0.21689438819885254,0.2775178849697113
152,152,0.216757133603096,0.277538925409317
153,153,0.2166210114955902,0.27755746245384216
154,154,0.21648606657981873,0.277573823928833
155,155,0.21635214984416962,0.2775883376598358
156,156,0.2162192165851593,0.2776012122631073
157,157,0.2160872519016266,0.27761274576187134
158,158,0.21595628559589386,0.2776230573654175
159,159,0.21582520008087158,0.27763256430625916
160,160,0.21569384634494781,0.2776414453983307
161,161,0.21556329727172852,0.27764981985092163
162,162,0.2154335379600525,0.2776578962802887
163,163,0.21530461311340332,0.2776658236980438
164,164,0.21517649292945862,0.2776736617088318
165,165,0.21504919230937958,0.2776815891265869
166,166,0.21492277085781097,0.27768969535827637
167,167,0.2147972583770752,0.2776980698108673
168,168,0.21467259526252747,0.27770671248435974
