,iter,train_loss,valid_loss
0,0,1.2316854,1.0968974
1,1,1.1578938,0.9929376
2,2,1.0922077,0.9010394
3,3,1.0360696,0.832288
4,4,0.98877734,0.78830296
5,5,0.94728583,0.7544716
6,6,0.909635,0.71338606
7,7,0.87474644,0.66431636
8,8,0.841947,0.6175603
9,9,0.8107889,0.58125305
10,10,0.7808521,0.556711
11,11,0.75181454,0.5492477
12,12,0.72369874,0.557619
13,13,0.6967228,0.574972
14,14,0.6712633,0.5887174
15,15,0.6478221,0.59809697
16,16,0.6267593,0.6278656
17,17,0.60803324,0.7017235
18,18,0.591463,0.79876
19,19,0.5766366,0.87003165
20,20,0.5631481,0.9038975
21,21,0.55065536,0.94271356
22,22,0.5389672,0.9970334
23,23,0.5279842,1.0189828
24,24,0.5176808,0.9936354
25,25,0.50805604,0.9603528
26,26,0.49904993,0.9472415
27,27,0.4905713,0.93648076
28,28,0.48252448,0.9126039
29,29,0.4748288,0.88260204
30,30,0.46741864,0.8664863
31,31,0.4602722,0.868062
32,32,0.4534274,0.8741822
33,33,0.44689378,0.8687116
34,34,0.44063142,0.85311925
35,35,0.4346351,0.84513193
36,36,0.42887768,0.84781903
37,37,0.42331657,0.839374
38,38,0.41790947,0.8124601
39,39,0.41264024,0.79487514
40,40,0.40752682,0.7952818
41,41,0.4025832,0.7884
42,42,0.39780116,0.770598
43,43,0.39317092,0.7676938
44,44,0.38867217,0.7757781
45,45,0.38429925,0.7677603
46,46,0.38004288,0.76669747
47,47,0.37591076,0.7776628
48,48,0.37191302,0.7747369
49,49,0.36803445,0.77893585
50,50,0.3642615,0.79294604
51,51,0.36058462,0.78457004
52,52,0.3570108,0.790837
53,53,0.35353482,0.8031239
54,54,0.35014597,0.79507
55,55,0.3468435,0.8192873
56,56,0.3436173,0.8160582
57,57,0.34046057,0.82299036
58,58,0.3373711,0.8321998
59,59,0.33435836,0.8202835
60,60,0.33142588,0.8547089
61,61,0.3285709,0.80728114
62,62,0.32580644,0.9107801
63,63,0.32318056,0.73689187
64,64,0.32070026,1.0042359
65,65,0.3181954,0.7202956
66,66,0.31562862,0.826576
67,67,0.31323206,0.9497769
68,68,0.31087208,0.72581446
69,69,0.3084703,0.8208975
70,70,0.30619952,0.93089986
71,71,0.30394542,0.7441786
72,72,0.3016914,0.7965153
73,73,0.29954857,0.92079693
74,74,0.29740655,0.7685802
75,75,0.2953028,0.7782047
76,76,0.29327753,0.9098441
77,77,0.29124597,0.7956342
78,78,0.28926614,0.77801085
79,79,0.28734887,0.90627795
80,80,0.28543422,0.8129433
81,81,0.28357035,0.7846554
82,82,0.28175208,0.90538734
83,83,0.27993914,0.82349974
84,84,0.27816725,0.80441153
85,85,0.27643842,0.9020236
86,86,0.274725,0.8191385
87,87,0.27304223,0.81659156
88,88,0.27140063,0.8916442
89,89,0.26977813,0.8026973
90,90,0.2681745,0.84091914
91,91,0.26660636,0.8733059
92,92,0.26507047,0.7931936
93,93,0.26354983,0.87042075
94,94,0.26204944,0.8353946
95,95,0.26057777,0.81081134
96,96,0.2591353,0.8790329
97,97,0.25771672,0.79755294
98,98,0.25631425,0.8703968
99,99,0.2549276,0.8342336
100,100,0.25356317,0.83431643
101,101,0.25222,0.8674212
102,102,0.25089967,0.8119615
103,103,0.24960183,0.8850695
104,104,0.24832849,0.8002095
105,105,0.24708003,0.9051022
106,106,0.24585734,0.78131706
107,107,0.24466364,0.9332391
108,108,0.24350114,0.75640357
109,109,0.24236824,0.9636387
110,110,0.24124381,0.75342494
111,111,0.24010889,0.9303131
112,112,0.23896527,0.8210939
113,113,0.23783252,0.83815795
114,114,0.23673014,0.9048375
115,115,0.2356623,0.7719624
116,116,0.2346181,0.9462926
117,117,0.2335801,0.76976573
118,118,0.23253806,0.9123316
119,119,0.2314936,0.82954127
120,120,0.23046267,0.84154624
121,121,0.22945586,0.9027346
122,122,0.22847699,0.78784084
123,123,0.2275186,0.9432888
124,124,0.22657014,0.7754224
125,125,0.22562352,0.9218348
126,126,0.22467652,0.81433594
127,127,0.22373481,0.861997
128,128,0.2228075,0.87696683
129,129,0.22189972,0.8087355
130,130,0.22101277,0.9235607
131,131,0.22014453,0.7772039
132,132,0.21929446,0.9497488
133,133,0.21845382,0.77035105
134,134,0.21761496,0.9384005
135,135,0.21677384,0.8022341
136,136,0.21593277,0.89024216
137,137,0.21509627,0.8549287
138,138,0.21427056,0.83725625
139,139,0.21346045,0.9054311
140,140,0.21267012,0.7961897
141,141,0.21190198,0.9532832
142,142,0.21115704,0.7597148
143,143,0.210432,0.9902365
144,144,0.2097178,0.744539
145,145,0.20899636,0.96727043
146,146,0.2082555,0.7979471
147,147,0.20750749,0.8698264
148,148,0.20677169,0.8975191
149,149,0.2060591,0.78944564
150,150,0.2053688,0.95991665
151,151,0.2046867,0.76949704
152,152,0.20400032,0.9422433
153,153,0.20330608,0.81898844
154,154,0.20261194,0.86875063
155,155,0.20192638,0.89788353
156,156,0.20125808,0.80619574
157,157,0.20060778,0.9455968
158,158,0.19996798,0.77886546
159,159,0.1993306,0.94662255
160,160,0.1986903,0.8004654
161,161,0.19804578,0.8985384
162,162,0.19740419,0.86479837
163,163,0.19677192,0.8349818
164,164,0.19615328,0.91716546
165,165,0.19554731,0.7963298
166,166,0.19495036,0.94582
167,167,0.19435903,0.79159695
168,168,0.19376986,0.93966323
169,169,0.1931806,0.8143229
170,170,0.1925916,0.9014729
171,171,0.19200444,0.849848
172,172,0.19142191,0.8620515
173,173,0.19084431,0.88723266
174,174,0.19027492,0.8348999
175,175,0.1897152,0.918188
176,176,0.18916595,0.80461925
177,177,0.18862985,0.94611794
178,178,0.18810719,0.7760189
179,179,0.18759486,0.97964615
180,180,0.18709101,0.7647908
181,181,0.18659042,0.9862062
182,182,0.18608418,0.78674495
183,183,0.1855689,0.9393982
184,184,0.18504813,0.8464314
185,185,0.18452992,0.8710308
186,186,0.18402053,0.9161858
187,187,0.18352447,0.8156424
188,188,0.18304197,0.96649826
189,189,0.18257095,0.78102875
190,190,0.18210718,0.98515636
191,191,0.181642,0.7800481
192,192,0.18117358,0.9611348
193,193,0.18069988,0.818491
194,194,0.18022338,0.90227604
195,195,0.17974795,0.878933
196,196,0.1792783,0.84298927
197,197,0.17881793,0.93014306
198,198,0.17836921,0.80072796
199,199,0.17793275,0.96701974
200,200,0.1775055,0.7767099
201,201,0.17708433,0.9843691
202,202,0.17666282,0.77567416
203,203,0.17623752,0.96562725
204,204,0.17580733,0.8089762
205,205,0.17537351,0.91558033
206,206,0.17493765,0.8645151
207,207,0.17450544,0.859311
208,208,0.17408061,0.9181081
209,209,0.17366542,0.8160031
210,210,0.17326108,0.9588229
211,211,0.1728665,0.78440595
212,212,0.17248015,0.98693204
213,213,0.17209813,0.773231
214,214,0.17171766,0.98768204
215,215,0.17133161,0.7896026
216,216,0.17093936,0.9486566
217,217,0.17054284,0.83669215
218,218,0.1701451,0.8888169
219,219,0.16975039,0.8948529
220,220,0.16936187,0.8364591
221,221,0.16898264,0.94475937
222,222,0.1686138,0.79728657
223,223,0.16825506,0.98189914
224,224,0.16790378,0.77364516
225,225,0.16755722,0.9965294
226,226,0.16720857,0.7783994
227,227,0.16685402,0.9734486
228,228,0.16649319,0.8138678
229,229,0.16612849,0.921006
230,230,0.16576292,0.8683002
231,231,0.1653989,0.86809045
232,232,0.16504018,0.91732144
233,233,0.16468766,0.8291144
234,234,0.164344,0.95710796
235,235,0.16400956,0.7968787
236,236,0.16368379,0.9897612
237,237,0.16336565,0.7758857
238,238,0.16305266,1.0083954
239,239,0.16273728,0.7775011
240,240,0.16241716,0.9860785
241,241,0.16208932,0.8148051
242,242,0.161755,0.9277564
243,243,0.1614183,0.8749713
244,244,0.16108495,0.8677104
245,245,0.16075705,0.93167317
246,246,0.16043638,0.8231158
247,247,0.16012411,0.9695383
248,248,0.15981911,0.7941386
249,249,0.15951937,0.99204624
250,250,0.15922089,0.79046965
251,251,0.15891844,0.9798028
252,252,0.15861167,0.81439173
253,253,0.15830112,0.9359828
254,254,0.15798807,0.85799456
255,255,0.15767483,0.8864657
256,256,0.1573637,0.9041184
257,257,0.15705661,0.8504326
258,258,0.15675549,0.9405399
259,259,0.15646017,0.822948
260,260,0.15616895,0.96061844
261,261,0.1558802,0.81371903
262,262,0.15559235,0.96498895
263,263,0.15530182,0.83253086
264,264,0.15500994,0.94849163
265,265,0.15471765,0.8612553
266,266,0.1544254,0.92626554
267,267,0.15413341,0.8876215
268,268,0.15384287,0.90489274
269,269,0.1535538,0.90899575
270,270,0.15326723,0.8871648
271,271,0.1529833,0.93001515
272,272,0.15270266,0.8664134
273,273,0.15242572,0.9544307
274,274,0.15215452,0.8386077
275,275,0.15189266,0.99919385
276,276,0.15164739,0.7880692
277,277,0.1514308,1.0867808
278,278,0.15125075,0.71411973
279,279,0.15110093,1.1777751
280,280,0.15093392,0.7048781
281,281,0.15070443,1.060008
282,282,0.15043542,0.8941292
283,283,0.15019046,0.80753094
284,284,0.14998643,1.098806
285,285,0.14977531,0.7588251
286,286,0.14952411,0.98985493
287,287,0.14926332,0.9433501
288,288,0.14903097,0.79627883
289,289,0.14880972,1.0520779
290,290,0.14856434,0.83345443
291,291,0.1483099,0.8842098
292,292,0.14807491,1.0066191
293,293,0.14784466,0.80765885
294,294,0.14759994,0.96288043
295,295,0.14735219,0.936528
296,296,0.14711647,0.8354249
297,297,0.14688396,1.0025923
298,298,0.14664192,0.870828
299,299,0.14639705,0.8960364
300,300,0.14616124,0.9826291
301,301,0.14592919,0.84396136
302,302,0.1456908,0.9577743
303,303,0.1454496,0.92021817
304,304,0.14521465,0.8663738
305,305,0.14498396,0.973367
306,306,0.14475103,0.8669229
307,307,0.14451605,0.9192325
308,308,0.14428337,0.9403218
309,309,0.144055,0.8673877
310,310,0.14382732,0.9627413
311,311,0.14359741,0.89257157
312,312,0.14336844,0.90984005
313,313,0.14314277,0.94688684
314,314,0.14291857,0.8777103
315,315,0.14269413,0.95196563
316,316,0.14246972,0.89922124
317,317,0.14224565,0.9151137
318,318,0.14202347,0.9375324
319,319,0.14180337,0.8855201
320,320,0.14158463,0.94565296
321,321,0.1413663,0.8897011
322,322,0.14114848,0.92759824
323,323,0.14093027,0.91899025
324,324,0.14071375,0.90518266
325,325,0.1404997,0.9430095
326,326,0.140287,0.895857
327,327,0.140075,0.94647175
328,328,0.13986371,0.8989774
329,329,0.13965291,0.9380649
330,330,0.13944279,0.9106531
331,331,0.1392336,0.92246175
332,332,0.13902508,0.92316437
333,333,0.13881776,0.9096016
334,334,0.13861203,0.9326248
335,335,0.1384064,0.90032125
336,336,0.13820213,0.9425833
337,337,0.13799992,0.8924529
338,338,0.1377993,0.9555926
339,339,0.13760015,0.88169456
340,340,0.13740332,0.9683238
341,341,0.13720863,0.8642989
342,342,0.13701853,0.9930295
343,343,0.13683654,0.8283283
344,344,0.13666801,1.05405
345,345,0.13651653,0.7717874
346,346,0.13638413,1.1251752
347,347,0.13625957,0.73634666
348,348,0.136127,1.1220217
349,349,0.13596505,0.79499614
350,350,0.1357776,0.9725114
351,351,0.13558783,0.95799935
352,352,0.1354162,0.8267254
353,353,0.13526203,1.0834639
354,354,0.13510738,0.79463714
355,355,0.13493666,1.0369873
356,356,0.13475114,0.89999974
357,357,0.1345671,0.8922665
358,358,0.13439627,1.0289916
359,359,0.13423367,0.8191438
360,360,0.13406828,1.037819
361,361,0.1338923,0.86530805
362,362,0.13371022,0.93526727
363,363,0.13353194,0.9706748
364,364,0.13336226,0.8439434
365,365,0.13319662,1.0200918
366,366,0.13302745,0.84776586
367,367,0.13285284,0.96401864
368,368,0.13267529,0.92158246
369,369,0.13250086,0.88689786
370,370,0.13233179,0.9853022
371,371,0.13216431,0.853592
372,372,0.13199614,0.98997456
373,373,0.13182537,0.88290733
374,374,0.1316526,0.9378335
375,375,0.13148043,0.94136727
376,376,0.1313113,0.8850489
377,377,0.1311449,0.9816264
378,378,0.13097998,0.8686191
379,379,0.13081528,0.9782843
380,380,0.13064949,0.88942456
381,381,0.13048273,0.9492024
382,382,0.13031551,0.9209784
383,383,0.1301487,0.9219694
384,384,0.12998368,0.94863874
385,385,0.12982042,0.8980752
386,386,0.12965803,0.96712613
387,387,0.1294965,0.8869125
388,388,0.12933645,0.9686478
389,389,0.1291773,0.8858116
390,390,0.12901883,0.9750701
391,391,0.12886126,0.8786151
392,392,0.12870586,0.98688585
393,393,0.12855294,0.8647226
394,394,0.12840436,1.0120448
395,395,0.12825957,0.84208477
396,396,0.12812003,1.0464144
397,397,0.1279865,0.8098029
398,398,0.12785761,1.0756383
399,399,0.1277297,0.80305463
400,400,0.1276009,1.0671713
401,401,0.12746596,0.8223652
402,402,0.12732443,1.030687
403,403,0.1271762,0.8700827
404,404,0.12702423,0.95393914
405,405,0.12687229,0.935959
406,406,0.12672187,0.9021627
407,407,0.12657379,0.97617
408,408,0.12642929,0.87378097
409,409,0.12628834,1.0118656
410,410,0.12615032,0.8473791
411,411,0.1260135,1.027382
412,412,0.12587641,0.8495556
413,413,0.12573874,1.0107772
414,414,0.12559934,0.8605631
415,415,0.12545949,1.0005823
416,416,0.12531781,0.87702286
417,417,0.12517495,0.96898156
418,418,0.12503132,0.9087132
419,419,0.12488698,0.94862175
420,420,0.124743365,0.9234882
421,421,0.124600634,0.9374627
422,422,0.12445786,0.9362757
423,423,0.12431545,0.9201246
424,424,0.12417428,0.9480346
425,425,0.12403352,0.90685666
426,426,0.12389387,0.9580374
427,427,0.123756014,0.8934817
428,428,0.12362049,0.9851532
429,429,0.123489425,0.85953176
430,430,0.12336652,1.0411793
431,431,0.123256624,0.7975414
432,432,0.123170115,1.1394563
433,433,0.12311359,0.72060186
434,434,0.1230854,1.2423452
435,435,0.12304737,0.69836944
436,436,0.122964926,1.1399593
437,437,0.122836284,0.8647465
438,438,0.12271007,0.8530448
439,439,0.12261713,1.1129323
440,440,0.12253204,0.76717407
441,441,0.122420534,1.062183
442,442,0.12228831,0.9328734
443,443,0.122168645,0.85833526
444,444,0.12207001,1.1095442
445,445,0.12196518,0.8214355
446,446,0.12184021,1.0202086
447,447,0.12171159,0.9855674
448,448,0.12159703,0.8483017
449,449,0.121488534,1.0826412
450,450,0.121369265,0.8636851
451,451,0.12124132,0.95141155
452,452,0.12111921,1.004015
453,453,0.121005036,0.8401131
454,454,0.12088806,1.0193831
455,455,0.12076257,0.8988289
456,456,0.12063777,0.89703304
457,457,0.12051995,1.0042796
458,458,0.12040366,0.8584073
459,459,0.120282836,0.97840405
460,460,0.12015893,0.92848694
461,461,0.120037645,0.8949063
462,462,0.119920075,0.9940458
463,463,0.1198021,0.8733614
464,464,0.11968143,0.9695681
465,465,0.11956006,0.9329222
466,466,0.11944104,0.8879848
467,467,0.11932383,0.98845905
468,468,0.11920626,0.8804238
469,469,0.119087234,0.9572203
470,470,0.11896791,0.9343808
471,471,0.11884955,0.9089332
472,472,0.11873292,0.9752658
473,473,0.11861672,0.8988526
474,474,0.11849978,0.965129
475,475,0.11838235,0.9208784
476,476,0.118264705,0.93245846
477,477,0.118148305,0.9597111
478,478,0.11803318,0.903056
479,479,0.11791833,0.976093
480,480,0.117803365,0.91200626
481,481,0.11768832,0.95333004
482,482,0.117573336,0.9434064
483,483,0.11745815,0.9236498
484,484,0.11734414,0.9538233
485,485,0.117231205,0.92119676
486,486,0.11711882,0.9610364
